Mã KH,LSX,PI,Mô tả Sản Phẩm,LOẠI ĐÁ,Kích thước ,L,L2,W,W2,H,H2,CÁCH GIA CÔNG,KHU VỰC,ỨNG DỤNG,Đơn giá,usd_pc,usd_m2,usd_m3,usd_ton,Pcs
,,,,,,,0.0,,0.0,,0.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
X23.1,010125 (Price list 2025),Price list 2025,"BAZAN ĐEN, Đá bậc thang- Mặt đốt xịt nước, chải và vạt mép ",BAZAN ĐEN ,1503515,150,0.0,35.0,0.0,15.0,0.0,ĐỐT XỊT ,2.0,STEP ,,84.26,160.4952381,1069.968254,362.701103,
X23.1,010125 (Price list 2025),Price list 2025,"BAZAN ĐEN, Đá bậc thang- Mặt đốt xịt nước, chải và vạt mép ",BAZAN ĐEN ,1253515,125,0.0,35.0,0.0,15.0,0.0,ĐỐT XỊT ,2.0,STEP ,,67.59,154.4914286,1029.942857,349.1331719,
X23.1,010125 (Price list 2025),Price list 2025,"BAZAN ĐEN, Đá bậc thang- Mặt đốt xịt nước, chải và vạt mép ",BAZAN ĐEN ,1003515,100,0.0,35.0,0.0,15.0,0.0,ĐỐT XỊT ,2.0,STEP ,,52.5,150,1000,338.9830508,
X23.1,010125 (Price list 2025),Price list 2025,"BAZAN ĐEN, Đá bậc thang- Mặt đốt xịt nước, chải và vạt mép ",BAZAN ĐEN ,753515,75,0.0,35.0,0.0,15.0,0.0,ĐỐT XỊT ,2.0,STEP ,,36.62,139.5047619,930.031746,315.2649987,
X23.1,010125 (Price list 2025),Price list 2025,"BAZAN ĐEN, Đá bậc thang- Mặt đốt xịt nước, chải và vạt mép ",BAZAN ĐEN ,503515,50,0.0,35.0,0.0,15.0,0.0,ĐỐT XỊT ,2.0,STEP ,,23.36,133.4857143,889.9047619,301.6626312,
X23.1,010125 (Price list 2025),Price list 2025,"BAZAN ĐEN, Đá tấm- Mặt đốt xịt nước và vạt mép, 2 cạnh dài chẻ tay, các cạnh còn lại cưa, rãnh thoát nước bên dưới ",BAZAN ĐEN ,100265,100,0.0,26.0,0.0,5.0,0.0,ĐỐT XỊT ,2.0,WALL_COVERING,,18.2,70,1400,474.5762712,
X23.1,010125 (Price list 2025),Price list 2025,"BAZAN ĐEN, Đá cây-Mặt đốt xịt nước, chải và vạt mép",BAZAN ĐEN ,100258,100,0.0,25.0,0.0,8.0,0.0,ĐỐT XỊT ,2.0,PALISADE,,20,80,1000,338.9830508,
X23.1,010125 (Price list 2025),Price list 2025,"BAZAN ĐEN, Đá cây-Mặt đốt xịt nước, chải và vạt mép",BAZAN ĐEN ,100355,100,0.0,35.0,0.0,5.0,0.0,ĐỐT XỊT ,2.0,PALISADE,,23.1,66,1320,447.4576271,0.0
X23.1,010125 (Price list 2025),Price list 2025,"BAZAN ĐEN, Đá hồ bơi- Mặt đốt + xịt nước, cạnh cưa & vạt mép chống mẻ 1mm, 1 cạnh dài đốt & bo tròn, ",BAZAN ĐEN ,60403,60,0.0,40.0,0.0,3.0,0.0,ĐỐT XỊT ,2.0,POOL_SURROUNDING,,12,50,1666.666667,564.9717514,0.0
X23.1,010125 (Price list 2025),Price list 2025,"BAZAN ĐEN, Đá lát- Mặt đốt xịt nước và chải, vạt mép các cạnh trên ",BAZAN ĐEN ,90603,90,0.0,60.0,0.0,3.0,0.0,ĐỐT XỊT ,2.0,TILE,,19.44,36,1200,406.779661,
X23.1,010125 (Price list 2025),Price list 2025,"BAZAN ĐEN, Đá lát- Mặt đốt xịt nước và chải, vạt mép các cạnh trên ",BAZAN ĐEN ,60603,60,0.0,60.0,0.0,3.0,0.0,ĐỐT XỊT ,2.0,TILE,,11.808,32.8,1093.333333,370.6214689,
